"Antimicrobial";"Bacterium";"M0.002";"M0.004";"M0.008";"M0.016";"M0.032";"M0.064";"M0.125";"M0.25";"M0.5";"M1";"M2";"M4";"M8";"M16";"M32";"M64";"M128";"M256";"M512";"ECOFF";"Distributions";"Observations"
"Ampicillin";"Bacteroides fragilis";0;0;0;0;0;0;0;0;0;4;8;11;50;123;185;37;34;70;120;;2;642
"Ampicillin";"Bacteroides fragilis group";0;0;0;0;0;0;0;0;0;17;28;37;91;333;437;76;52;121;97;;3;1289
"Ampicillin";"Bacteroides ovatus";0;0;0;0;0;0;0;0;0;0;0;0;7;5;15;6;3;4;13;;2;53
"Ampicillin";"Bacteroides thetaiotaomicron";0;0;0;0;0;0;0;0;0;0;1;0;3;9;24;16;4;12;16;;2;85
"Ampicillin";"Bacteroides vulgatus";0;0;0;0;0;0;0;0;0;0;0;1;5;9;7;3;2;10;10;;2;47
"Ampicillin";"Bifidobacterium longum";0;0;0;0;1;2;13;26;12;6;1;0;0;0;0;0;0;0;0;;1;61
"Ampicillin";"Bifidobacterium spp";0;0;20;7;23;29;152;66;27;8;1;0;0;0;0;0;0;0;0;;2;333
"Ampicillin";"Campylobacter coli";0;0;0;0;0;0;0;10;30;91;211;368;266;42;69;111;10;0;0;8;10;1208
"Ampicillin";"Campylobacter jejuni";0;0;0;0;0;0;3;6;29;143;223;172;83;78;55;12;1;3;0;8;8;808
"Ampicillin";"Citrobacter freundii";0;0;0;0;0;0;0;0;0;1;17;44;30;8;3;84;17;0;0;8;2;204
"Ampicillin";"Citrobacter spp";0;0;0;0;0;0;0;0;0;0;11;22;26;26;39;23;11;9;18;;2;185
"Ampicillin";"Corynebacterium striatum";0;0;0;0;0;0;0;1;2;1;2;6;0;0;4;0;0;0;0;;1;16
"Ampicillin";"Enterobacter agglomerans";0;0;0;0;0;0;0;0;0;5;8;52;66;16;13;14;7;0;1;;1;182
"Ampicillin";"Enterobacter cloacae";0;0;0;0;0;0;0;0;0;0;3;5;12;20;19;18;14;8;11;;1;110
"Ampicillin";"Enterobacter dissolvens";0;0;0;0;0;0;0;0;0;0;0;0;2;4;5;26;22;16;6;;1;81
"Ampicillin";"Enterococcus avium";0;0;0;0;0;0;1;0;4;33;21;2;1;11;31;0;0;0;0;4;1;104
"Ampicillin";"Enterococcus casseliflavus";0;0;0;0;0;0;0;0;12;22;19;0;1;0;5;0;0;0;0;4;1;59
"Ampicillin";"Enterococcus faecalis";0;0;0;2;2;7;31;263;1101;5916;5713;620;110;34;49;7;2;1;0;4;27;13858
"Ampicillin";"Enterococcus faecium";0;0;0;3;1;3;12;138;255;588;664;416;160;123;3275;307;208;188;0;4;28;6341
"Ampicillin";"Enterococcus gallinarum";0;0;0;0;0;0;0;0;0;42;34;4;1;1;29;0;0;0;0;4;1;111
"Ampicillin";"Enterococcus hirae";0;0;0;0;0;0;0;224;99;89;120;32;3;1;0;0;0;0;0;;8;568
"Ampicillin";"Escherichia coli";0;0;0;0;0;0;1;13;84;4684;24124;20853;3012;511;677;11012;1549;6683;187;8;52;73390
"Ampicillin";"Haemophilus influenzae";0;0;0;2;19;153;2338;6689;1978;1239;269;275;280;350;455;434;19;17;270;1;22;14787
"Ampicillin";"Haemophilus parainfluenzae";0;0;0;0;0;0;10;10;54;18;23;1;14;1;8;0;0;0;0;;1;139
"Ampicillin";"Hafnia alvei";0;0;0;0;0;0;0;0;0;0;3;12;4;11;23;2;1;0;0;;1;56
"Ampicillin";"Kingella kingae";0;0;7;23;80;53;9;11;11;7;1;0;0;0;0;0;0;0;0;;1;202
"Ampicillin";"Klebsiella oxytoca";0;0;0;0;0;0;0;0;0;11;17;63;223;689;2455;317;84;225;84;8;8;4168
"Ampicillin";"Klebsiella pneumoniae";0;0;0;0;0;0;0;1;3;15;34;107;289;930;872;609;126;863;99;8;8;3948
"Ampicillin";"Klebsiella spp";0;0;0;0;0;0;0;0;1;9;17;32;84;138;167;69;24;112;0;8;3;653
"Ampicillin";"Kluyvera spp";0;0;0;0;0;0;0;0;0;1;3;8;9;9;5;1;0;1;5;;1;42
"Ampicillin";"Lactobacillus acidophilus";0;0;0;0;0;0;1;2;7;1;0;0;0;0;0;0;0;0;0;;1;11
"Ampicillin";"Lactobacillus amylovorus";0;0;0;0;0;0;3;15;11;0;1;0;0;0;0;0;0;0;1;;1;31
"Ampicillin";"Lactobacillus crispatus";0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;;1;7
"Ampicillin";"Lactobacillus gallinarum";0;0;0;0;0;0;1;0;5;1;1;0;0;0;0;0;0;0;0;;1;8
"Ampicillin";"Lactobacillus gasseri";0;0;0;0;0;0;4;14;18;0;0;0;0;0;0;0;0;0;0;;1;36
"Ampicillin";"Lactobacillus johnsonii";0;0;0;0;0;0;2;10;13;1;0;0;0;0;0;0;0;0;0;;1;26
"Ampicillin";"Lactobacillus paracasei";0;0;0;0;0;0;1;3;6;32;76;13;1;0;0;0;0;0;0;;2;132
"Ampicillin";"Lactobacillus plantarum";0;0;0;0;0;0;22;38;46;10;4;0;0;0;0;0;0;0;0;;2;120
"Ampicillin";"Lactobacillus reuteri";0;0;0;0;0;0;1;9;25;31;11;2;3;25;5;0;0;0;0;;2;112
"Ampicillin";"Lactobacillus rhamnosus";0;0;0;0;0;0;2;1;6;111;94;7;4;0;0;0;0;0;0;;3;225
"Ampicillin";"Lactobacillus sakei";0;0;0;0;0;0;0;0;0;6;39;35;3;0;0;0;0;0;0;;1;83
"Ampicillin";"Lactococcus lactis";0;0;0;0;0;1;3;5;2;1;0;0;0;0;0;0;0;0;0;;1;12
"Ampicillin";"Legionella pneumophila";0;0;0;0;0;0;2;11;14;24;23;15;10;1;0;0;0;0;0;;1;100
"Ampicillin";"Listeria monocytogenes";0;0;0;0;1;3;11;240;258;30;0;0;0;0;0;0;0;0;0;1;6;543
"Ampicillin";"Moraxella catarrhalis";2;13;141;96;39;78;142;120;99;214;310;198;394;375;407;153;29;1;1;0.125;8;2812
"Ampicillin";"Neisseria gonorrhoeae";0;0;2;11;38;56;290;267;344;271;111;75;18;3;19;0;0;0;0;;12;1505
"Ampicillin";"Neisseria meningitidis";0;0;0;0;6;108;85;12;61;28;0;0;0;0;0;0;0;0;0;;2;300
"Ampicillin";"Pasteurella multocida";0;0;0;0;0;4;40;120;55;2;1;0;2;1;0;0;0;0;1;1;6;226
"Ampicillin";"Proteus mirabilis";0;0;0;0;0;0;0;11;189;1565;1298;122;26;27;1075;148;14;69;0;8;8;4544
"Ampicillin";"Proteus spp";0;0;0;0;0;0;0;0;2;3;4;2;2;5;9;8;5;10;0;;1;50
"Ampicillin";"Proteus vulgaris";0;0;0;0;0;0;0;0;1;15;7;2;2;3;312;0;10;0;0;;3;352
"Ampicillin";"Providencia rettgeri";0;0;0;0;0;0;0;0;3;7;4;5;7;15;36;0;0;0;0;;1;77
"Ampicillin";"Providencia stuartii";0;0;0;0;0;0;1;0;0;2;2;5;10;27;138;0;0;0;0;;1;185
"Ampicillin";"Raoultella spp";0;0;0;0;0;0;0;0;0;0;2;1;8;17;11;4;5;1;0;;1;49
"Ampicillin";"Salmonella enteritidis";0;0;0;0;0;0;0;0;0;41;422;17;7;4;64;0;0;0;0;8;1;555
"Ampicillin";"Salmonella paratyphi";0;0;0;0;0;0;0;0;0;12;42;11;0;0;4;0;0;0;0;8;1;69
"Ampicillin";"Salmonella spp";0;0;0;0;0;0;0;12;172;3887;1813;161;17;11;361;687;28;0;0;8;11;7149
"Ampicillin";"Salmonella typhi";0;0;0;0;0;0;0;7;86;91;88;2;2;1;46;0;0;0;0;8;1;323
"Ampicillin";"Salmonella typhimurium";0;0;0;0;0;0;0;3;0;16;50;3;2;1;114;0;0;0;0;8;1;189
"Ampicillin";"Serratia liquefaciens";0;0;0;0;0;0;0;0;1;1;6;34;70;62;66;24;23;20;135;;3;442
"Ampicillin";"Serratia marcescens";0;0;0;0;0;0;0;1;2;1;9;55;146;353;2943;146;133;233;151;;6;4173
"Ampicillin";"Serratia spp";0;0;0;0;0;0;0;0;0;1;7;18;33;39;60;69;32;54;169;;2;482
"Ampicillin";"Shigella flexneri";0;0;0;0;0;0;0;0;0;5;34;6;1;3;272;0;0;0;0;8;1;321
"Ampicillin";"Shigella sonnei";0;0;0;0;0;0;0;0;0;1;91;103;1;1;229;0;0;0;0;8;1;426
"Ampicillin";"Staphylococcus aureus";0;0;0;1;4;11;298;248;305;407;182;155;130;87;80;0;2;1;0;;6;1911
"Ampicillin";"Staphylococcus capitis";0;0;0;0;0;0;14;7;7;52;53;7;15;26;33;0;0;0;0;;1;214
